Avenida Iraí,806,de 1053/1054 a 1399/1400,São Paulo,SP,Indianópolis,04082-003
Avenida Moema,4573,até 349/350,São Paulo,SP,Moema,04077-020
Avenida Myrim,4450,,São Paulo,SP,Vila Clarice,05176-030
Avenida Iraí,4855,75,São Paulo,SP,Indianópolis,04082-901
Avenida Iraí,3707,666,São Paulo,SP,Indianópolis,04082-959
Avenida Moaci,2670,de 471/472 a 699/700,São Paulo,SP,Planalto Paulista,04083-001
Avenida Moaci,4963,534,São Paulo,SP,Planalto Paulista,04093-901
Avenida Sabin,1834,,São Paulo,SP,Jardim Avenida,05798-000
Avenida Iraí,27,de 1953/1954 ao fim,São Paulo,SP,Indianópolis,04082-006
Avenida Moema,2228,de 691/692 ao fim,São Paulo,SP,Moema,04077-023
Avenida Iraí,1512,556,São Paulo,SP,Indianópolis,04082-907
Avenida Agami,2260,de 293/294 ao fim,São Paulo,SP,Moema,04522-001
Avenida Moaci,2974,de 1401/1402 a 1799/1800,São Paulo,SP,Planalto Paulista,04083-004
Avenida Três,2931,(Conjunto Habitacional Voith),São Paulo,SP,Parque Nações Unidas,02996-160
Avenida Moema,560,177,São Paulo,SP,Planalto Paulista,04077-909
Avenida Iraí,466,de 601/602 a 1051/1052,São Paulo,SP,Indianópolis,04082-002
Avenida Berna,3086,,São Paulo,SP,Veleiros,04774-020
Avenida Iraí,2740,533,São Paulo,SP,Indianópolis,04082-900
Avenida Iraí,4181,438 Conjunto 64/65,São Paulo,SP,Indianópolis,04082-910
Avenida Moaci,1394,até 469/470,São Paulo,SP,Planalto Paulista,04083-000
Avenida Itaim,2949,,São Paulo,SP,Vila Itaim,08110-840
Rua Jacob Cortez,4065,,São Paulo,SP,Parque Panamericano,02992-140
Praça Ragueb Chohfi,3056,,São Paulo,SP,Centro,01022-040
Rua João Abib Caram,4412,,São Paulo,SP,Vila Ré,03668-150
Avenida Ragueb Chohfi,848,até 1641 - lado ímpar,São Paulo,SP,Jardim Três Marias,08375-001
Avenida Ragueb Chohfi,3354,3693 Locker Correios Posto Ipiranga,São Paulo,SP,Parque Boa Esperança,08341-988
Avenida Ragueb Chohfi,4494,de 4001 a 5099 - lado ímpar,São Paulo,SP,Jardim Iguatemi,08380-330
Avenida Ragueb Chohfi,3020,1111/1835,São Paulo,SP,Jardim Três Marias,08375-900
Avenida Ragueb Chohfi,4295,de 1643 a 2649 - lado ímpar,São Paulo,SP,Parque São Lourenço,08340-000
Avenida Ragueb Chohfi,4440,de 2651 a 3999 - lado ímpar,São Paulo,SP,Parque Boa Esperança,08341-420
Avenida Ragueb Chohfi,3473,de 4002 a 5100 - lado par,São Paulo,SP,Jardim Iguatemi,08380-320
Avenida Ragueb Chohfi,1794,até 1600 - lado par,São Paulo,SP,Jardim Três Marias,08375-000
Avenida Ragueb Chohfi,622,de 5101 ao fim - lado ímpar,São Paulo,SP,Jardim Marilu,08371-440
Avenida Ragueb Chohfi,2641,de 2452 a 4000 - lado par,São Paulo,SP,Parque Boa Esperança,08341-410
Travessa Nagib Chohfi,4746,,São Paulo,SP,Santana,02405-011
Avenida Ragueb Chohfi,3623,280,São Paulo,SP,Jardim Três Marias,08375-971
Avenida Ragueb Chohfi,832,3692,São Paulo,SP,Parque Boa Esperança,08341-971
Avenida Ragueb Chohfi,4396,de 5102 ao fim - lado par,São Paulo,SP,Jardim Marilu,08371-435
Avenida Ragueb Chohfi,1489,de 1602 a 2450 - lado par,São Paulo,SP,Parque São Lourenço,08340-001
Rua Michel Jacob Cheid,2055,,São Paulo,SP,Jardim Thomaz,05833-240
Rua Professor Adib Casseb,3771,,São Paulo,SP,Vila da Paz,04777-030
Rua Deputado Adib Chammas,1132,,São Paulo,SP,Veleiros,04773-170
Rua Antônio Adib Chammas,3176,,São Paulo,SP,Instituto de Previdência,05530-090
Avenida Sport Club Corinthians Paulista,1395,,São Paulo,SP,Parque Artur Alvim,03568-000
Rua Jacob Hassessian,4367,,São Paulo,SP,Vila Guaca,02434-050
Rua Luigi Ori,3671,,São Paulo,SP,Vila Prudente,03127-110
Rua Frei Orlando,1557,,São Paulo,SP,Vila Santa Isabel,03432-010
Rua Rubi Oriental,1988,,São Paulo,SP,Jardim Paulistano (Zona Norte),02812-230
Praça Mokiti Okada,4026,,São Paulo,SP,Vila Clementino,04021-030
Rua José Elói Otoni,3964,,São Paulo,SP,Vila Cruz das Almas,02804-130
Rua Luísa Crapsi Orsi,4245,,São Paulo,SP,Vila Albano,05543-000
Praça Yves Yoshiaki Ota,2362,,São Paulo,SP,Chácara Califórnia,03442-015
Rua Frei Orestes Girardi,2838,,São Paulo,SP,Conjunto Habitacional Juscelino Kubitschek,08465-040
Rua Marli Oliveira Cobra,3305,,São Paulo,SP,Vila Santa Maria,04809-020
Rua Catharina Ciani Olive,3455,,São Paulo,SP,Vila das Mercês,04164-030
Rua Eugênia Miliotti Ori,2357,,São Paulo,SP,Vila Prudente,03127-120
Avenida Miguel Motoki Ogushi,1999,,São Paulo,SP,Parque São Rafael,08320-375
Rua O,914,(Conj Hab Nova União),São Paulo,SP,Jardim Brasília (Zona Norte),02857-090
Rua Oti,4907,,São Paulo,SP,Vila Ré,03657-050
Rua Ota,2558,,São Paulo,SP,Vila Ré,03657-030
Rua Oba,1618,,São Paulo,SP,Recanto Verde do Sol,08382-184
Rua Oca,4651,,São Paulo,SP,Vila Anhangüera,04673-020
Rua Omã,4027,,São Paulo,SP,Vila Jaguari,05162-105
Rua Onze,3226,,São Paulo,SP,Eldorado,04476-391
Rua Oito,1283,,São Paulo,SP,Jardim Monte Verde,04851-525
Rua Oito,868,,São Paulo,SP,Sítio Morro Grande,02808-090
Rua Oito,3416,,São Paulo,SP,Jardim São Pedro (Zona Sul),04852-301
Rua Oito,4783,,São Paulo,SP,Jardim Sydney,02981-080
Rua Oati,4622,,São Paulo,SP,Vila Formosa,03365-080
Rua Oito,633,,São Paulo,SP,Jardim Paulistano (Zona Norte),02814-120
Rua Oito,749,,São Paulo,SP,Jardim Domitila,04466-115
Rua Odin,2030,,São Paulo,SP,Jardim Los Angeles,04648-300
Rua Onze,2840,,São Paulo,SP,Cidade Líder,08280-315
Rua Onze,707,,São Paulo,SP,Jardim Regina,05175-372
Rua Onze,4716,,São Paulo,SP,Jardim Filhos da Terra,02325-045
Rua Onze,4871,,São Paulo,SP,Jardim Palmares (Zona Norte),02328-010
Rua Ocre,2241,,São Paulo,SP,Jardim Lajeado,08041-630
Rua Onze,2318,,São Paulo,SP,Jardim Modelo,02237-046
Rua Orco,3617,,São Paulo,SP,Jardim Adelfiore,05223-110
Rua Onze,207,,São Paulo,SP,Jardim das Oliveiras,08111-775
Rua Onze,137,,São Paulo,SP,Parque América,04822-275
Rua Oito,2343,,São Paulo,SP,Jardim Jaraguá,05265-080
Rua Oito,1794,,São Paulo,SP,Jardim Nova Tereza,03823-310
Rua Ofir,1771,,São Paulo,SP,Jardim Julieta,02161-150
Rua Oito,773,,São Paulo,SP,Jardim Lucélia,04852-210
Rua Onze,3649,,São Paulo,SP,Jardim Monte Verde,04851-528
Rua Oiti,546,,São Paulo,SP,Vila Regente Feijó,03347-000
Rua Osaka,4796,de 901/902 ao fim,São Paulo,SP,Jardim Japão,02124-041
Rua Oneda,3459,,São Paulo,SP,Cidade Nova Heliópolis,04233-090
Rua Orion,114,,São Paulo,SP,Jardim Guanhembu,04814-075
Rua Odete,1364,,São Paulo,SP,Vila Pierina,03733-060
Rua Osaka,2800,até 899/900,São Paulo,SP,Jardim Japão,02124-040
Rua Orós,4935,,São Paulo,SP,Sumarezinho,05442-020
Rua Outiz,1130,,São Paulo,SP,Jardim Aurélio,05857-410
Rua Oniro,3702,,São Paulo,SP,City América,05101-090
Rua Oirá,1339,,São Paulo,SP,Jardim Sabará,04446-010
Rua Ourem,1089,,São Paulo,SP,Parque Císper,03818-170
Rua Ônix,3088,,São Paulo,SP,Aclimação,04108-110
Rua Ortiz,620,,São Paulo,SP,Jardim Santa Helena,04787-130
Rua Orion,1068,,São Paulo,SP,Cidade Satélite Santa Bárbara,08340-110
Rua Ouchi,1108,,São Paulo,SP,Lauzane Paulista,02441-010
Rua Opiá,4177,,São Paulo,SP,Jardim Piratininga,03716-060
Rua Ofion,1285,,São Paulo,SP,Vila Guilherme,02056-040
Rua Olaia,4806,,São Paulo,SP,Jardim Santa Maria,03576-080
Rua Orense,480,,São Paulo,SP,Imirim,02540-030
Rua Odemis,906,301,São Paulo,SP,Jardim Umuarama,05783-912
Rua Oregon,668,,São Paulo,SP,Jardim Ramala,04858-320
